302,Vic Tokai
303,Media Factory
304,Daedalic
305,Game Arts
306,The Adventure Company
307,EA Games
308,Acquire
309,Broccoli
310,General Entertainment
311,Paradox Interactive
312,Yacht Club Games
313,Imadio
314,Swing! Entertainment
315,Sony Music Entertainment
316,Aqua Plus
317,Excalibur Publishing
318,Hip Interactive
319,Tripwire Interactive
320,DreamCatcher Interactive
321,SCS Software
322,Havas Interactive
323,Sting
324,Idea Factory
325,Telstar
326,U.S. Gold
327,Funsta
328,DreamWorks Interactive
329,Slitherine Software
330,MTO
331,Graffiti
332,Tru Blu Entertainment
333,DHM Interactive
334,Crytek
335,FunSoft
336,Data Design Interactive
337,SPS
338,Moss
339,T&E Soft
340,NDA Productions
341,Bigben Interactive
342,Data East
343,Idea Factory International
344,Time Warner Interactive
345,Gainax Network Systems
346,Daito
347,O3 Entertainment
348,O-Games
349,Gameloft
350,Xicat Interactive
351,Simon & Schuster Interactive
352,Valcon Games
353,PopTop Software
354,TOHO
355,PM Studios
356,Bohemia Interactive
357,Reef Entertainment
358,5pb
359,HMH Interactive
360,inXile Entertainment
361,Cave
362,Microids
363,Paon
364,CDV Software Entertainment
365,Micro Cabin
366,GameTek
367,Benesse
368,Type-Moon
369,Enjoy Gaming ltd.
370,Asmik Corp
371,Interplay Productions
372,Asmik Ace Entertainment
373,Image Epoch
374,Phantom EFX
375,Evolved Games
376,responDESIGN
377,Griffin International
378,Culture Publishers
379,Hackberry
380,Hearty Robin
381,Nippon Amuse
382,Origin Systems
383,Seventh Chord
384,Abylight
385,Mitsui
386,Insomniac Games
387,Flight-Plan
388,Milestone
389,Glams
390,Aksys Games
391,Locus
392,Warp
393,Irem Software Engineering
394,Myelin Media
395,Global A Entertainment
396,Alternative Software
397,Mercury Games
398,Sunrise Interactive
399,Elite
400,Evolution Games
401,Daedalic Entertainment
402,Edia
403,Athena
404,Aria
405,Tivola
406,Happinet
407,Tommo
408,Altron
409,Revolution Software
410,Media Works
411,Fortyfive
412,Gamecock
413,Imax
414,10TACLE Studios
415,Groove Games
416,Pack-In-Video
417,Crimson Cow
418,iWin
419,Asgard
420,Ecole
421,Yumedia
422,Ascaron Entertainment GmbH
423,HAL Laboratory
424,Phenomedia
425,Grand Prix Games
426,DigiCube
427,Creative Core
428,Kaga Create
429,WayForward Technologies
430,LSP Games
431,ASCII Media Works
432,1C Company
433,Coconuts Japan
434,Arika
435,Marvel Entertainment
436,Ertain
437,Prototype
438,Phantagram
439,The Learning Company
440,TechnoSoft
441,MLB.com
442,Vap
443,Misawa
444,Yeti
445,Dusenberry Martin Racing
446,Navarre Corp
447,Pow
448,MediaQuest
449,Team17 Software
450,Max Five
451,Tradewest
452,Comfort
453,Milestone S.r.l
454,Pony Canyon
455,Riverhillsoft
456,Summitsoft
457,Playmore
458,Kool Kizz
459,Monte Christo Multimedia
460,TopWare Interactive
461,Legacy Interactive
462,Cloud Imperium Games Corporation
463,Flashpoint Games
464,CyberFront
465,Alawar Entertainment
466,Societa
467,Interchannel
468,Experience Inc.
469,Sonnet
470,Virtual Play Games
471,Zenrin
472,Iceberg Interactive
473,Ivolgamus
474,MC2 Entertainment
475,2D Boy
476,Games Workshop
477,Kando Games
478,Office Create
479,Maximum Family Games
480,Fields
481,Gearbox Software
482,Princess Soft
483,Extreme Entertainment Group
484,Big Fish Games
485,Berkeley
486,Mamba Games
487,Fuji
488,FuRyu Corporation
489,Her Interactive
490,imageepoch Inc.
491,Just Flight
492,Kamui
493,ASK
494,Cygames
495,Introversion Software
496,49Games
497,KSS
498,dramatic create
499,TGL
500,KID
501,Quinrose
502,Sold Out
503,Encore
504,G.Rev
505,Sunflowers
506,Headup Games
507,Sweets
508,Kokopeli Digital Studios
509,id Software
510,Nexon
511,BushiRoad
512,Devolver Digital
513,Number None
514,Tryfirst
515,GN Software
516,Yuke's
517,Strategy First
518,Lexicon Entertainment
519,Paon Corporation
520,Kids Station
521,Licensed 4U
522,GOA
523,7G//AMES
524,King Records
525,Minato Station
526,Graphsim Entertainment
527,Easy Interactive
528,Gaga
529,Yamasa Entertainment
530,Plenty
531,Views
532,Blue Byte
533,fonfun
534,NetRevo
535,Epic Games
536,Quintet
537,Focus Multimedia
538,Phoenix Games
539,Marvelous Games
540,Dorart
541,Codemasters Online
542,Stainless Games
543,Aerosoft
544,Imageworks
545,Karin Entertainment
546,Technos Japan Corporation
547,Masque Publishing
548,Gakken
549,New World Computing
550,Mirai Shounen
551,Datam Polystar
552,HuneX
553,Visco
554,Saurus
555,Revolution (Japan)
556,Giza10
557,Alvion
558,Giga
559,Mycom
560,Warashi
561,System Soft
562,RED Entertainment
563,Lighthouse Interactive
564,Michaelsoft
565,Media Entertainment
566,Genterprise
567,"Interworks Unlimited, Inc."
568,Inti Creates
569,Boost On
570,EON Digital Entertainment
571,Nitroplus
572,Naxat Soft
573,Piacci
574,Paradox Development
575,Otomate
576,Ascaron Entertainment
577,Ongakukan
578,Commseed
579,UIG Entertainment
580,Takuyo
581,Interchannel-Holon
582,Red Flagship
